"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Shree Shubham Logistics Limited","SHREE SHUBHAM LOGISTICS LIMITED C/O PARTH AGRO PARK,","7111503","CHAMBER NO.01 AND CHAMBER NO.02, PLOT NO. 01 TO 06, SURVEY NO. 414, UNJHA, SIDDHPUR HIGHWAY,, BRAHMANWADA, TALUKA - UNJHA,","Mahesana","GUJARAT","4307","09-Jul-2025","08-Jan-2027","7878362200","Active",""
"Shree Shubham Logistics Limited","SHREE SHUBHAM LOGISTICS LIMITED C/O RMDH AND SONS WAREHOUSE,","5071644","GODOWN NO.8A, SURVEY NO.583, AT ALDESAN, TALUKA- KADI, DISTRICT - MAHESANA, GUJARAT.,","Mahesana","GUJARAT","5026","27-Dec-2024","29-Dec-2026","7878362200","Active",""
"Shree Shubham Logistics Limited","C/O BHAVANABEN CHANDUBHAI KHANPARA WAREHOUSE,","6546212","GODOWN NO. A, SITUATED AT SHIVKANT INDUSTRIAL PARK,, SURVEY NO. 47 P1p1p1, PLOT NO. 36, 37, 38, 39 (A), GUNDALA ANIDA ROAD, ANIDA,","Rajkot","GUJARAT","2453","16-Dec-2021","15-Dec-2026","8320224545","Inactive","EFFECTIVE CONTROL EXPIRED"
"Shree Shubham Logistics Limited","C/O RADHESHYAM AGRO, PARTH AGRO PARK,","9711663","CHAMBER NO.01 TO 05, PLOT NO. 01 TO 11, SURVEY NO.414,, UNJHA SIDDHPUR HIGHWAY, BRAHMANWADA, UNJHA, GUJARAT.","Mahesana","GUJARAT","5942","11-Dec-2020","10-Dec-2025","7878362200","Inactive","EFFECTIVE CONTROL EXPIRED"
"Shree Shubham Logistics Limited","SHREE SHUBHAM LOGISTICS LIMITED C/O DELUXE LOGISTICS WAREHOUSE,","3511698","GODOWN NO.1,SURVEY NO.2098 & 2099, PLOT NO.01 TO 09, CHITRASANI ROAD,, BHAKHAR MOTI, TALUKA DANTIWADA, DISTRICT BANASKANTHA, GUJARAT -385505.","Banas Kantha","GUJARAT","2884","12-Nov-2024","11-Nov-2026","9879402503","Active",""
"SHREE VINAYAK COLD STORAGE","SHREE VINAYAK COLD STORAGE","7086309","Survey No. 129, Haripara road, Nana Jadra, Mahuva, Dist. Bhavnagar, Gujarat","Bhavnagar","GUJARAT","5272","08-May-2025","07-Nov-2029","9879533045","Active",""
"Shubham Cold Storgae","SUBHAM COLD STORAGE","6698047","Survey no.471 AT - .Post jamla ,Gozaria to Gandhinagar highway., Jamla","Gandhinagar","GUJARAT","5625","22-Mar-2023","21-Mar-2028","9879109301","Active",""
"Smit Chandan","Siddhivinayak Warehousing","7044092","Plot No. 53 Kandla, Taluka Gandhidham,","Kachchh","GUJARAT","18600","21-Mar-2025","20-Mar-2030","9979555111","Active",""
"Sonalben Kanabar","SONALBEN ATULBHAI KANABAR","6976864","Plot No.12+13+14, R S No. 495/P1, R S No. 495/P2, R S No. 498/1/P-1, R S No. 498/1/P-2, Param Industrial Park","Junagadh","GUJARAT","4073","17-Sep-2024","16-Sep-2029","8980805406","Active",""
"Star Agro Cold Storage","STAR AGRO COLD STORAGE","6864722","STAR AGRO COLD STORAGE , Near OM HYUNDAI, PLOT NO 3, SURVEY NO 54/1/P4, RAJKOT HIGHWAY, JUNAGADH, GUJARAT -362037","Junagadh","GUJARAT","5836","19-Feb-2024","18-Feb-2029","8460478494","Active",""
"StarAgriWarehousing CollateralManagementLimited","KRISHNA MULTIPLEX PVT. LTD.","6669691","REVENUE SURVEY NO. - 163, GODOWN NO. - 1, AT- RAMUN, TALUKA- DEESA, DIST. - BANASKANTHA","Banas Kantha","GUJARAT","2899","03-Jan-2023","02-Jan-2028","9314058569","Inactive","EFFECTIVE CONTROL EXPIRED"
"StarAgriWarehousing CollateralManagementLimited","BHAVYA AGRO WAREHOUSE","6545404","Survey No.592/2, Godown No.-3, 5,11,14, Village Aldasan Near Shakti Cotton Industry Ontava Char Rasta PO.Aldesan Ta. Kadi, Dist. Mehsana","Mahesana","GUJARAT","2934","10-Dec-2021","09-Dec-2026","9314058569","Active",""
"StarAgriWarehousing CollateralManagementLimited","Parth Agro Park","6708036","R. S. NO. - 1160 , PAIKI 1 , PLOT NO. - 175 ,, AT. - KAMALI , UNJHA","Mahesana","GUJARAT","2363","12-Apr-2023","11-Apr-2028","9314058569","Active",""
"StarAgriWarehousing CollateralManagementLimited","Star Agri Warehousing & Collateral Management Limited C/o Miteshkumar Farsuram Thakkar","1011584","Godown No. 1, 214 Vaghel Raod, Harij,","Patan","GUJARAT","1590","28-Sep-2022","29-Oct-2027","9314058569","Inactive","EFFECTIVE CONTROL EXPIRED"
"StarAgriWarehousing CollateralManagementLimited","EXCEL INDUSTRIES","6986764","PLOT NO 6A, SECTOR NO 12, KANDLA PORT ROAD NEAR AMBIKA WEIGHBRIDGE KUTCH","Kachchh","GUJARAT","1910","15-Oct-2024","14-Oct-2029","9314058569","Active",""
"StarAgriWarehousing CollateralManagementLimited","Vasant Govindbhai Bhalodi","6706410","Godown No. - 2, S R No. - 261, paiky 1 & 262/2, Plot No - 5,, Village - Anida, Tehsil - Gondal","Rajkot","GUJARAT","2773","03-Apr-2023","02-Apr-2028","9314058569","Active",""
"StarAgriWarehousing CollateralManagementLimited","Akhani Warehouse","8591698","Survey No. 20, Godown No. - 2, 3,, Thara Harij Road, At. PO. thara, Ta. Kankrej, dist. banas kantha","Banas Kantha","GUJARAT","6400","31-Mar-2025","01-Feb-2030","9314058569","Active",""
