"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"INDU BALA AGARWAL","MAA DURGA KHADDYANN BHANDAR","7111412","KHASRA NO 97,NH-62,VILLAGE MOGRA KHURD,TEH. LUNI,","Jodhpur","RAJASTHAN","8508","09-Jul-2025","08-Jul-2030","9414913198","Active",""
"Jagdamba Enterprises","Jagdamba Enterprises","6649263","Chak 46 NGC Sangria Road Hanumangarh Junction,","Hanumangarh","RAJASTHAN","30662","03-Nov-2022","02-Nov-2027","9414094334","Active",""
"Jagdish Prasad Bajaj","MAHADEV INDUSTRIES","6915664","PLOT NO 114-115 RIICO IID CENTER NAGAUR,","Nagaur","RAJASTHAN","1856","19-Apr-2024","18-Apr-2029","7014698080","Active",""
"Jai Mata Woollen Mills","JAI MATA WOOLLEN MILLS","6788228","B-186, INDUSTRIAL GROWTH CENTER, KHARA","Bikaner","RAJASTHAN","4007","30-Sep-2023","29-Sep-2028","9828538385","Active",""
"Jai Shanker Seeds Private Limited","Jai Shanker Seeds Private Limited","7084866","Kill No. 21,22,23,24 and 25 village 5BDN, Tehsil Suratgarh","Ganganagar","RAJASTHAN","8400","06-May-2025","05-Nov-2029","9314441950","Active",""
"JAMU DEVI","BAAN MATA WAREHOUSE","6560528","JAMU DEVI, K NO 895/7 VILLAGE MATHANIYA TEHSIL TINWRI,","Jodhpur","RAJASTHAN","3413","03-Mar-2022","02-Mar-2027","9928992649","Active",""
"Janhavi Promoters Private Limited","Janhavi Promoteres Private Limited, NR Agro Warehouse","1011626","2, NGM,","Bikaner","RAJASTHAN","9550","27-Sep-2022","29-Oct-2027","9610821210","Active",""
"Janhavi Promoters Private Limited","CMD Logistics","3951644","2, NGM, Husangsar, Bikaner,","Bikaner","RAJASTHAN","11072","06-Sep-2024","30-Nov-2029","9460060009","Active",""
"Jay Aanjaney Agro","Jay Aanjaney Agro Warehouse","6694087","hak 8 DWM Sanjeevani School Road, Rawatsar","Hanumangarh","RAJASTHAN","8933","14-Mar-2023","13-Mar-2028","9414951236","Active",""
"JAYSHREE BHURA","J B COLD STORAGE","6544142","KHASRA NO 1009/1004, JAY SHREE BHURA W/O NIRMAL KUMAR, NH 89 BIKANER ROAD HINYADESAR,","Bikaner","RAJASTHAN","6012","30-Nov-2021","29-Nov-2026","9886903789","Active",""
"JBW LOGISTICS PRIVATE LIMITED","M/S JBW LOGISTICS PRIVATE LIMITED","6678783","At Killa No 11/1,12/2,13,14,15 Khasra No 115/41,","Ganganagar","RAJASTHAN","6688","31-Jan-2023","30-Jan-2028","9602842726","Active",""
"JETHA RAM","M/s Jasnath Warehouse","6681662","Khasra No. 904/881 & 906/881, Village Mathania, Tehsil Tinwari,","Jodhpur","RAJASTHAN","1805","13-Feb-2023","12-Feb-2028","9928132292","Inactive","EXPIRED INSURANCE"
"JICS Logistic Limited","Jics Logistic Ltd.","1007400","Khasra No. 496, Ajmer Road,","Jaipur","RAJASTHAN","15727","01-Jul-2024","10-Jul-2029","8982032770","Active",""
"JICS Logistic Limited","Jics Logistic Limited","1007418","Khasra No. 393 & 394, Near NH- 8, Akhepura Road, Mokhampura,","Jaipur","RAJASTHAN","5000","14-Aug-2024","13-Aug-2029","8982032770","Active",""
"Jitendra Sancheti","JEET JAIN AND COMPANY","6601025","NEAR SPICE PARK,RAMPURA, MATHANIYA","Jodhpur","RAJASTHAN","3333","15-Jul-2022","14-Jul-2027","9414134576","Active",""
"JIVI DEVI","Raja Ramdev Warehouse","6656102","Khasra No.548/2, Village Khudala, Tehsil Luni,","Jodhpur","RAJASTHAN","6472","30-Nov-2022","29-Nov-2027","8824311008","Active",""
