"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Yamada Logistics Private Limited","Yamada Logistic Ltd c/o Jayalaxmi Warehouse","7000359","24/7 Dabha Near Narendra Solvex, Yavatmal Road","Amravati","MAHARASHTRA","3502","03-Dec-2024","02-Dec-2029","9977337303","Inactive","EFFECTIVE CONTROL EXPIRED"
"SATISH WANI","Dnyandeep Warehouse","6941587","Gat No-872 & 960,Perane Phata,Near toll Naka,","Pune","MAHARASHTRA","3333","12-Jun-2024","11-Dec-2028","8600820965","Inactive",""
"RJVM PRODUCTS LLP","THE MODERN COLD STORADE","7003957","CENTRAL WAREHOUSING COPORATION C 9 COLD STORAGE, INDUSTRIAL AREA AMBAD MIDC NASHIK","Nashik","MAHARASHTRA","2300","19-Dec-2024","18-Dec-2029","8920239803","Inactive",""
"Khemanand Dudh and Krishi Producer Company Ltd","Khemananad Dudh And krishi Producer Company Ltd","6972541","347/2/1 At Kharda, SONEGAON ROAD","Ahmadnagar","MAHARASHTRA","2977","29-Aug-2024","28-Aug-2029","8275829999","Inactive","EXPIRED INSURANCE"
"Khemanand Dudh and Krishi Producer Company Ltd","Khemanand Dudh and Krishi Producer Company Ltd","6830707","297/2,, SHIRDI BYPASS ROAD","Ahmadnagar","MAHARASHTRA","2000","01-Jan-2024","31-Dec-2028","8275829999","Inactive","EXPIRED INSURANCE"
"Sandipkumar Gugliya","Paras Industries","7025919","Plot No B-171, Additional Yavatmal Industrial Area","Yavatmal","MAHARASHTRA","5887","27-Feb-2025","26-Feb-2030","8668722808","Inactive",""
"APMC Yeola","submarket Patoda ( APMC Yeola)","6748800","SUb Market yard, Yeola Road","Nashik","MAHARASHTRA","1170","30-Jun-2023","29-Jun-2028","9423478313","Inactive",""
"Central Warehousing Corporation","CW, Puntamba (Shree Sai Samarth Agro compound)","5771650","changdeonagar, puntamba","Ahmadnagar","MAHARASHTRA","9100","28-Jun-2021","27-Jun-2026","9022111011","Cancelled",""
"Dattu Temkar","Shivsai Warehouse","6785075","Gat no. 69 Chorwa Ghalgaon Vaijapur Gangapur Road,","Aurangabad","MAHARASHTRA","1947","25-Sep-2023","24-Sep-2028","9834989882","Active",""
"Maharashtra State Warehousing Corporation","Maharashtra State Warehousing Corporation, Daryapur","6721625","Mauze-Banosa, Near ITI, Daryapur,","Amravati","MAHARASHTRA","6000","26-May-2023","25-May-2028","8805017485","Active",""
"agriculture produce market committee,hinganghat.","Agriculture produce market committee, Hinganghat","6852305","APMC, Hinganghat,","Wardha","MAHARASHTRA","1000","06-Feb-2024","05-Feb-2029","9860864627","Active",""
"APMC Lakhandur","APMC,lakhandur","6689319","APMC, lakhandur,","Bhandara","MAHARASHTRA","1147","27-Feb-2023","26-Feb-2028","9423761332","Active",""
